id,log_change,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012
116,0.01834913,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
117,0.24987761,0,,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
118,-0.01834914,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
119,0.07811778,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
120,0.59039058,0,,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
121,1.1357913,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,0.14217449,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
123,-0.07509045,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
124,0.725937,0,,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,1.07342204,0,,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,0.06088837,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
127,0.95426998,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,0.9877497,0,,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,0.5389965,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
130,0.0755696,0,,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
131,0.13875031,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
132,0.44200706,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
133,-0.11778304,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
134,0.17486282,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
135,-0.0822381,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
136,-0.13102827,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
137,-0.28864315,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
138,0.23002629,0,,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
139,0.68548431,0,,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
140,-0.08994823,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
141,0.54812141,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
142,0.07748189,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
143,0.17202598,0,,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
144,0.07368771,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
145,-0.0721033,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
146,-0.13976194,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
147,-0.0215062,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
148,0.239321,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
149,0.97186059,0,,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0
150,-0.02044475,0,,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
151,0.78194268,0,,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
152,0.20348636,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
153,-0.0721033,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
154,0.02531781,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
155,0.17435339,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
156,0.0822381,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
157,0.13062018,0,,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0
158,0.31015493,0,,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
159,0.1909053,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
160,0.35103375,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0
161,0.33647224,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
162,0.75198768,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
163,0.5614031,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,-0.03005235,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
165,-0.01434111,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
166,0.14953173,0,,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0
167,0.04585005,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
168,0.19356761,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
169,0.22533895,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
170,0.33343887,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
171,0.4282777,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
172,-0.10054123,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
173,0.85566611,0,,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,0.50652454,0,,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
175,-0.20701417,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
176,0.87373112,0,,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
177,-0.66577599,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
178,0.01424236,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
179,0.63090487,0,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
180,0.00816331,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
